tick,totalFoodInNest,antsAlive,antsSearching,antsReturning,foodSrc1Remaining,foodSrc2Remaining,firstFoodDeliveredTick,pheromoneTrailsActive
0,0,20,20,0,10,50,-1,0
1,0,20,20,0,10,50,-1,3
2,0,20,20,0,10,50,-1,8
3,0,20,18,2,8,50,-1,12
4,0,20,18,2,8,50,-1,16
5,0,20,16,4,6,50,-1,21
6,0,20,16,4,6,50,-1,25
7,1,20,16,4,5,50,7,30
8,1,20,16,4,5,50,7,37
9,1,20,16,4,5,50,7,42
10,1,20,16,4,5,50,7,46
11,1,20,13,7,2,50,7,50
12,1,20,13,7,2,50,7,52
13,1,20,12,8,1,50,7,54
14,1,20,12,8,1,50,7,57
15,3,20,14,6,1,50,7,59
16,3,20,14,6,1,50,7,61
17,5,20,16,4,1,50,7,62
18,5,20,16,4,1,50,7,63
19,5,20,15,5,0,50,7,64
20,5,20,15,5,0,50,7,65
21,6,20,16,4,0,50,7,66
22,6,20,15,5,0,49,7,66
23,6,20,15,5,0,49,7,66
24,6,20,15,5,0,49,7,65
25,6,20,15,5,0,49,7,64
26,6,20,15,5,0,49,7,62
27,7,20,16,4,0,49,7,60
28,7,20,16,4,0,49,7,57
29,7,20,16,4,0,49,7,55
30,7,20,16,4,0,49,7,54
31,7,20,16,4,0,49,7,54
32,7,20,16,4,0,49,7,54
33,7,20,16,4,0,49,7,54
34,7,20,16,4,0,49,7,54
35,7,20,16,4,0,49,7,54
36,7,20,16,4,0,49,7,55
37,7,20,16,4,0,49,7,56
38,7,20,16,4,0,49,7,56
39,7,20,16,4,0,49,7,57
40,7,20,16,4,0,49,7,58
41,7,20,16,4,0,49,7,59
42,7,20,16,4,0,49,7,59
43,7,20,16,4,0,49,7,60
44,7,20,16,4,0,49,7,60
45,7,20,16,4,0,49,7,61
46,7,20,16,4,0,49,7,62
47,8,20,17,3,0,49,7,62
48,8,20,17,3,0,49,7,62
49,8,20,17,3,0,49,7,63
50,8,20,17,3,0,49,7,62
51,8,20,17,3,0,49,7,62
52,8,20,17,3,0,49,7,63
53,8,20,17,3,0,49,7,63
54,8,20,17,3,0,49,7,62
55,8,20,17,3,0,49,7,63
56,8,20,17,3,0,49,7,62
57,8,20,17,3,0,49,7,62
58,8,20,17,3,0,49,7,62
59,9,20,18,2,0,49,7,61
60,9,20,18,2,0,49,7,61
61,9,20,18,2,0,49,7,60
62,9,20,18,2,0,49,7,59
63,9,20,18,2,0,49,7,59
64,9,20,18,2,0,49,7,59
65,9,20,18,2,0,49,7,59
66,9,20,18,2,0,49,7,58
67,9,20,18,2,0,49,7,56
68,9,20,18,2,0,49,7,55
69,9,20,18,2,0,49,7,55
70,9,20,18,2,0,49,7,55
71,9,20,18,2,0,49,7,54
72,9,20,18,2,0,49,7,54
73,9,20,18,2,0,49,7,54
74,9,20,18,2,0,49,7,53
75,9,20,18,2,0,49,7,52
76,9,20,18,2,0,49,7,52
77,9,20,18,2,0,49,7,51
78,9,20,18,2,0,49,7,51
79,9,20,18,2,0,49,7,50
80,9,20,18,2,0,49,7,49
81,9,20,18,2,0,49,7,49
82,9,20,18,2,0,49,7,48
83,9,20,18,2,0,49,7,48
84,9,20,18,2,0,49,7,47
85,9,20,18,2,0,49,7,45
86,9,20,18,2,0,49,7,44
87,9,20,18,2,0,49,7,44
88,9,20,18,2,0,49,7,43
89,9,20,18,2,0,49,7,43
90,9,20,18,2,0,49,7,43
91,9,20,18,2,0,49,7,43
92,9,20,18,2,0,49,7,43
93,9,20,18,2,0,49,7,43
94,9,20,18,2,0,49,7,43
95,9,20,18,2,0,49,7,41
96,9,20,18,2,0,49,7,40
97,9,20,18,2,0,49,7,40
98,9,20,18,2,0,49,7,40
99,9,10,8,2,0,49,7,41
100,9,10,8,2,0,49,7,40
101,9,10,8,2,0,49,7,40
102,9,10,8,2,0,49,7,40
103,9,10,8,2,0,49,7,39
104,9,10,8,2,0,49,7,39
105,9,9,8,1,0,49,7,39
106,9,9,8,1,0,49,7,39
107,9,9,8,1,0,49,7,39
108,9,9,8,1,0,49,7,39
109,9,9,8,1,0,49,7,39
110,9,9,8,1,0,49,7,39
111,9,9,8,1,0,49,7,39
112,9,9,8,1,0,49,7,39
113,9,9,8,1,0,49,7,39
114,9,9,8,1,0,49,7,39
115,9,7,6,1,0,49,7,38
116,9,7,6,1,0,49,7,38
117,9,5,4,1,0,49,7,38
118,9,5,4,1,0,49,7,38
119,9,5,4,1,0,49,7,38
120,9,5,4,1,0,49,7,37
121,9,4,3,1,0,49,7,36
122,9,3,3,0,0,49,7,36
123,9,3,3,0,0,49,7,35
124,9,3,3,0,0,49,7,34
125,9,3,3,0,0,49,7,34
126,9,3,3,0,0,49,7,34
127,9,2,2,0,0,49,7,34
128,9,2,2,0,0,49,7,34
129,9,2,2,0,0,49,7,34
130,9,2,2,0,0,49,7,34
131,9,2,2,0,0,49,7,34
132,9,2,2,0,0,49,7,34
133,9,2,2,0,0,49,7,34
134,9,2,2,0,0,49,7,34
135,9,2,2,0,0,49,7,34
136,9,2,2,0,0,49,7,35
137,9,2,2,0,0,49,7,36
138,9,2,2,0,0,49,7,36
139,9,2,2,0,0,49,7,36
140,9,2,2,0,0,49,7,36
141,9,2,2,0,0,49,7,35
142,9,2,2,0,0,49,7,34
143,9,2,2,0,0,49,7,34
144,9,2,2,0,0,49,7,34
145,9,2,2,0,0,49,7,34
146,9,2,2,0,0,49,7,34
147,9,1,1,0,0,49,7,34
148,9,1,1,0,0,49,7,34
149,9,1,1,0,0,49,7,34
150,9,1,1,0,0,49,7,33
151,9,1,1,0,0,49,7,33
152,9,1,1,0,0,49,7,33
153,9,1,1,0,0,49,7,32
154,9,1,1,0,0,49,7,31
155,9,1,1,0,0,49,7,30
156,9,1,1,0,0,49,7,29
157,9,1,1,0,0,49,7,29
158,9,1,1,0,0,49,7,29
159,9,0,0,0,0,49,7,28
